date,objective,start_index
2024-02-29,max_return,1
2024-02-29,sharpe,132
2024-02-29,sortino,190
2024-02-29,volatility,251
2024-02-29,downside_vol,354
2024-03-31,max_return,1
2024-03-31,sharpe,121
2024-03-31,sortino,131
2024-03-31,volatility,136
2024-03-31,downside_vol,249
2024-04-30,max_return,1
2024-04-30,sharpe,134
2024-04-30,sortino,148
2024-04-30,volatility,162
2024-04-30,downside_vol,236
2024-05-31,max_return,1
2024-05-31,sharpe,99
2024-05-31,sortino,175
2024-05-31,volatility,205
2024-05-31,downside_vol,295
2024-06-30,max_return,1
2024-06-30,sharpe,101
2024-06-30,sortino,119
2024-06-30,volatility,130
2024-06-30,downside_vol,216
2024-07-31,max_return,1
2024-07-31,sharpe,90
2024-07-31,sortino,214
2024-07-31,volatility,250
2024-07-31,downside_vol,370
2024-08-31,max_return,1
2024-08-31,sharpe,123
2024-08-31,sortino,185
2024-08-31,volatility,192
2024-08-31,downside_vol,291
2024-09-30,max_return,1
2024-09-30,sharpe,115
2024-09-30,sortino,125
2024-09-30,volatility,134
2024-09-30,downside_vol,228
2024-10-31,max_return,1
2024-10-31,sharpe,90
2024-10-31,sortino,141
2024-10-31,volatility,169
2024-10-31,downside_vol,260
2024-11-30,max_return,1
2024-11-30,sharpe,107
2024-11-30,sortino,209
2024-11-30,volatility,262
2024-11-30,downside_vol,348
2024-12-31,max_return,1
2024-12-31,sharpe,103
2024-12-31,sortino,125
2024-12-31,volatility,152
2024-12-31,downside_vol,226
2025-01-31,max_return,1
2025-01-31,sharpe,136
2025-01-31,sortino,165
2025-01-31,volatility,172
2025-01-31,downside_vol,244
2025-02-28,max_return,1
2025-02-28,sharpe,91
2025-02-28,sortino,152
2025-02-28,volatility,179
2025-02-28,downside_vol,261
2025-03-31,max_return,1
2025-03-31,sharpe,102
2025-03-31,sortino,171
2025-03-31,volatility,187
2025-03-31,downside_vol,189
2025-04-30,max_return,1
2025-04-30,sharpe,98
2025-04-30,sortino,166
2025-04-30,volatility,189
2025-04-30,downside_vol,231
2025-05-31,max_return,1
2025-05-31,sharpe,86
2025-05-31,sortino,179
2025-05-31,volatility,209
2025-05-31,downside_vol,272
2025-06-30,max_return,1
2025-06-30,sharpe,84
2025-06-30,sortino,145
2025-06-30,volatility,165
2025-06-30,downside_vol,165
2025-07-31,max_return,1
2025-07-31,sharpe,89
2025-07-31,sortino,107
2025-07-31,volatility,121
2025-07-31,downside_vol,205
2025-08-31,max_return,1
2025-08-31,sharpe,106
2025-08-31,sortino,128
2025-08-31,volatility,135
2025-08-31,downside_vol,250
2025-09-30,max_return,1
2025-09-30,sharpe,95
2025-09-30,sortino,102
2025-09-30,volatility,140
2025-09-30,downside_vol,246
2025-10-31,max_return,1
2025-10-31,sharpe,109
2025-10-31,sortino,123
2025-10-31,volatility,127
2025-10-31,downside_vol,174
2025-11-30,max_return,1
2025-11-30,sharpe,81
2025-11-30,sortino,161
2025-11-30,volatility,182
2025-11-30,downside_vol,313
2025-12-31,max_return,1
2025-12-31,sharpe,85
2025-12-31,sortino,90
2025-12-31,volatility,92
2025-12-31,downside_vol,92
2026-01-31,max_return,1
2026-01-31,sharpe,92
2026-01-31,sortino,100
2026-01-31,volatility,139
2026-01-31,downside_vol,270
2026-02-28,max_return,1
2026-02-28,sharpe,102
2026-02-28,sortino,113
2026-02-28,volatility,127
2026-02-28,downside_vol,229
